Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000076338.3	2310.266236605425	3.8361353688839492	0.17500438836196439	21.920223857184705	1.666359642974369e-106	7.898544707698508e-104	296.21903305638267	311.9245012732845	291.6057722038589	309.4644338019665	4261.021225462546	3670.561884708118	4362.6686396309815	4978.664402706264
ENSMUSG00000065616.5	2997.6195421805983	4.78342751370786	0.2569449853605972	18.616543564743196	2.3596143274256938e-77	5.592285955998894e-75	164.26691833126677	252.8770648182594	208.866418152937	214.64979876476826	3814.860622004523	6119.4272494593415	5941.058161928732	7264.950103984957
ENSMUSG00000076376.3	5065.883180323245	2.66758874234223	0.1744948690215389	15.287491015067923	9.265139104770552e-53	1.463891978553747e-50	1508.0241682870392	1486.4550307591087	1151.2878411231939	1364.935683556333	8754.49587457549	8458.162076857227	9628.176086016276	8175.528681411292
ENSMUSG00000088054.3	253.76893400033435	3.9238609787446554	0.26140842587988755	15.010460988535996	6.271035149568724e-51	7.431176652238938e-49	31.23764348594581	35.300097880721495	35.315577948564226	23.70365875929956	575.5096859731639	537.6559152777825	410.38127579741507	381.0476168797823
ENSMUSG00000070102.3	1011.7799054796367	-3.92795992541043	0.2735272924951791	-14.36039486070539	9.170317764618259e-47	8.693461240858109e-45	1756.309575994298	2142.3950313790606	1906.5367009660604	1783.041886671756	176.21469212207626	77.29658832873973	132.584719873011	119.86004850209115
ENSMUSG00000076286.3	38604.74243035337	3.418131417156118	0.26381034352502847	12.956775581590605	2.1510069514873625e-38	1.6992954916750164e-36	3977.4137438570656	8983.554000662885	7306.2885693015305	6153.074752934845	75869.79808047522	71252.40554579509	70172.04138231339	65123.36336748693
ENSMUSG00000088860.3	196.06765573045098	3.554492201843227	0.278704027087768	12.753644929299371	2.975030442536102e-37	2.0145206139458744e-35	24.236102704613128	41.076477533930465	35.315577948564226	22.386788828227363	418.0412376938617	316.02675936175	312.52112541495455	398.9371763577064
ENSMUSG00000065572.3	741.1357146845513	3.448380178898469	0.27671284890234243	12.461944548572344	1.2039860150334205e-35	7.1336171390730165e-34	138.4150754463461	132.21491206233867	130.66763840968764	96.13150496827045	1927.1138670371743	1376.2896966143746	1224.8302693030541	903.4227536351647
ENSMUSG00000065520.4	3071.281328289194	2.8053394956674778	0.22618896557004822	12.402636391202272	2.528647690675751e-35	1.331754450422562e-33	663.5306340462972	903.6825057464702	771.8976323043324	736.1302914693586	7247.297869616455	4808.121410289483	4833.028717275712	4606.561565565444
ENSMUSG00000076255.4	1887.4388271101743	2.180176065452079	0.20164153369889334	10.812137883793753	3.015589912856511e-27	1.4293896186939862e-25	740.5475826409568	631.5508420841809	620.0406471255062	739.4224662970391	2821.309698337497	3928.4451926721435	2809.5333496899952	2808.6608380340763
