Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif_D6_1_S4	Dif_D6_2_S3	Dif_D6_3_S2	Dif_D6_4_S1	Undif_D2_1_S8	Undif_D2_2_S7	Undif_D2_3_S6	Undif_D2_4_S5
ENSMUSG00000119227.1	1057.724553309577	-4.232504074052623	0.2755559775449853	-15.35987029481752	3.0418258231589584e-53	1.7341449017829222e-49	1479.8964392224675	2027.6452092341815	2667.9164377644156	1868.1046861390566	76.02014107000815	105.82309483671212	118.56509664392627	117.82532156584887
ENSMUSG00000065418.3	6880.171692289169	-2.825994018957407	0.20132877756473705	-14.036711756463685	9.29252816220954e-45	2.6488351526378295e-41	12685.098431854192	10326.813391921942	14739.603510333232	10494.249088122047	1563.8429020115964	1473.827102634936	1852.579635061348	1905.3594763740562
ENSMUSG00000065616.5	4828.542184848887	6.0277727023772725	0.47157387110777765	12.782244886081978	2.060354986225415e-37	3.915361258823697e-34	116.0628475090904	174.01267968596548	178.17670676471496	114.94943897344893	11050.070505533327	17212.607389258665	3486.554873185457	6295.903037880425
ENSMUSG00000064337.1	475506.2082158375	5.145429839389689	0.4147009463830026	12.407567149937389	2.3776809303288608e-35	3.388789745951209e-32	17087.87595867444	29815.791860202648	34430.71187894677	23189.815193149745	1360380.4244477958	1245657.1177168267	433425.8262596828	660062.1024114209
ENSMUSG00000064339.1	572918.9490354728	4.714725435476378	0.4208319199117053	11.203345593332307	3.926204804880784e-29	4.47665871852507e-26	29255.44825081597	48709.41730255269	53555.872495397016	36621.62187663315	1567182.3582086002	1593470.6936573228	493412.3548429693	761143.8256494912
ENSMUSG00000076050.3	1020.6040763452278	-2.40191874926553	0.2499896733740783	-9.608071872918362	7.39201885715318e-22	7.02364991743838e-19	1664.4553934582343	1355.8856005987666	2336.9553568415513	1513.3834112700702	293.2205441271743	319.39334077989474	290.85500270463166	390.6839609814989
ENSMUSG00000064369.1	273.88083628114396	7.372770408439491	0.7866642652293553	9.372194383699288	7.10399379965238e-21	5.785695521688317e-18	0.7610678525186256	5.2998785691157	4.303785187553502	2.820845128182796	1058.851964903685	861.9772088517642	150.05895043996918	106.97298931636278
ENSMUSG00000065503.3	4396.999901975957	-2.8155294923247207	0.3096242243416587	-9.093376005418392	9.601052829264047e-20	6.841950272454292e-17	8173.868736050039	7511.252902079225	9180.83456208913	5948.104558414449	695.0412897829317	838.8885336146633	1274.5747889222075	1553.4338448550075
ENSMUSG00000118859.1	104.18495915631766	-3.5277797757343463	0.3979015881712903	-8.865960530460846	7.584734128285832e-19	4.804507696150836e-16	210.8157951476593	191.6789415830178	224.22720827153742	148.44697487061964	0	13.468393888308816	27.78869452592022	17.053664963478127
ENSMUSG00000118838.1	24.631542097218567	5.913165444796224	0.6944057636466885	8.515432553069683	1.6596962030270878e-17	9.461928053457427e-15	1.1416017787779384	1.324969642278925	0.43037851875535016	0.3526056410228495	48.87009068786239	82.73441959961129	29.641274160981567	32.55699674845824
ENSMUSG00000112674.2	66.18202441854396	2.919420337965046	0.34371762135395867	8.493659203345416	2.00230874075955e-17	1.0377420119154723e-14	17.50456060792839	21.64117082388911	13.341734081415854	8.815141025571238	141.180261987158	105.82309483671212	129.68057445429434	91.46965753138268
ENSMUSG00000076376.3	8210.742522020662	4.024738066851672	0.502039660635067	8.016773140513408	1.085593574213616e-15	5.157474138826521e-13	1065.4949935260759	1022.8765638393301	982.123779799709	730.951493840367	25358.14705692415	23790.95577556264	5650.3678869371115	7085.022625735913
ENSMUSG00000064372.1	15430.995695919115	2.672221937402568	0.3373387700915266	7.921478864340266	2.3470215678610334e-15	1.0292592275673654e-12	2621.117684074147	4854.688769309982	5461.933781524149	3802.851838431432	28648.733163240217	36408.91679263824	16154.494417734953	25495.2291203998
ENSMUSG00000106483.2	335.65570418938086	1.6334063948785709	0.20704179439099188	7.889259266145726	3.0398540789138655e-15	1.2378720074205676e-12	131.66473848572224	203.16201181610182	162.25270157076702	159.37774974232798	461.5508564964781	581.0649934670374	476.11296621076644	510.0596157258458
ENSMUSG00000064344.1	420138.7780442548	5.058040244513323	0.6442056110666029	7.851592966007841	4.107858355794442e-15	1.5612600324256076e-12	13539.77763023261	26546.650096153116	33248.03170940706	24618.220644933306	1040134.7201702337	1743658.677962124	172202.83481785748	307161.31132309703
ENSMUSG00000065486.3	57.98516884268541	-4.540968590622686	0.5807372330324425	-7.81931712370336	5.311065785467573e-15	1.8923991276844145e-12	89.80600659719782	111.2974499514297	154.5058882331707	88.85662153775807	5.430010076429154	1.924056269758402	7.410318540245392	4.6509995354940346
ENSMUSG00000120012.1	22.898979771196178	3.7398144610271014	0.48553750239755816	7.7024214248335054	1.3351171672980258e-14	4.477354688685909e-12	4.185873188852441	2.64993928455785	4.303785187553502	1.410422564091398	54.300100764291535	51.94951928347686	24.083535255797525	40.3086626409483
ENSMUSG00000101342.2	186.48984440606677	2.002967724265834	0.262487639686334	7.630712541967039	2.334597211415031e-14	7.394188167931719e-12	73.82358169430668	72.43167377791457	95.97440968244308	58.885142050815865	206.34038290430786	290.5324967335187	366.8107677421469	327.1203006630804
ENSMUSG00000064366.1	342.21565416707244	4.706153268735345	0.6218630752665018	7.56782876474617	3.795137801485953e-14	1.1387410845406009e-11	17.124026681669076	29.59098867756266	34.430281500428016	19.745915897279573	999.1218540629643	1216.00356248731	142.6486318997238	279.05997212964206
